	Time [s]	Theta 1 (Bottom Pendulum) (Relative Rotation X) [°]	
664	0.25417	-1.4015	
665	0.2546	-1.3974	
666	0.25505	-1.3935	
667	0.2555	-1.3903	
668	0.25573	-1.389	
669	0.256	-1.3877	
670	0.2563	-1.3867	
671	0.25663	-1.3861	
672	0.25698	-1.386	
673	0.25734	-1.3867	
674	0.2577	-1.388	
675	0.25808	-1.39	
676	0.25845	-1.3926	
677	0.25882	-1.3959	
678	0.25901	-1.3977	
679	0.25924	-1.4	
680	0.25949	-1.4029	
681	0.25978	-1.4062	
682	0.26009	-1.4099	
683	0.26041	-1.4139	
684	0.26075	-1.4182	
685	0.2611	-1.4225	
686	0.26146	-1.4269	
687	0.26183	-1.4311	
688	0.26222	-1.4352	
689	0.26262	-1.439	
690	0.26304	-1.4424	
691	0.26348	-1.4453	
692	0.26397	-1.4476	
693	0.26457	-1.4492	
694	0.2652	-1.4495	
695	0.26552	-1.4492	
696	0.26587	-1.4485	
697	0.26624	-1.4475	
698	0.26663	-1.4461	
699	0.26702	-1.4445	
700	0.26741	-1.4427	
701	0.26761	-1.4417	
702	0.26784	-1.4406	
703	0.26811	-1.4393	
704	0.26839	-1.438	
705	0.2687	-1.4366	
706	0.26902	-1.4352	
707	0.26935	-1.4339	
708	0.26969	-1.4328	
709	0.27003	-1.4318	
710	0.27038	-1.4311	
711	0.27073	-1.4307	
712	0.27108	-1.4305	
713	0.27143	-1.4306	
714	0.27178	-1.4311	
715	0.27214	-1.4318	
716	0.2725	-1.4328	
717	0.27285	-1.4341	
718	0.27321	-1.4357	
719	0.27358	-1.4376	
720	0.27394	-1.4396	
721	0.27431	-1.4419	
722	0.27469	-1.4443	
723	0.27506	-1.4467	
724	0.27545	-1.4492	
725	0.27584	-1.4516	
726	0.27623	-1.4539	
727	0.27664	-1.456	
728	0.27706	-1.4577	
729	0.27748	-1.459	
730	0.27793	-1.4597	
731	0.27839	-1.4597	
732	0.27887	-1.4588	
733	0.27938	-1.4569	
734	0.27994	-1.4537	
735	0.28055	-1.449	
736	0.28127	-1.4421	
737	0.28207	-1.4335	
738	0.28246	-1.429	
739	0.2829	-1.4244	
740	0.28335	-1.4198	
741	0.28381	-1.4156	
742	0.28427	-1.4121	
743	0.2845	-1.4107	
744	0.28477	-1.4093	
745	0.28507	-1.4081	
746	0.2854	-1.4073	
747	0.28574	-1.4069	
748	0.2861	-1.4072	
749	0.28646	-1.4081	
750	0.28683	-1.4095	
751	0.2872	-1.4115	
752	0.28757	-1.414	
753	0.28795	-1.4169	
754	0.28832	-1.42	
755	0.28869	-1.4234	
756	0.28906	-1.4268	
757	0.28944	-1.4302	
758	0.28982	-1.4336	
759	0.2902	-1.4367	
760	0.29059	-1.4396	
761	0.29099	-1.4421	
762	0.29141	-1.4442	
763	0.29185	-1.4457	
764	0.29232	-1.4464	
765	0.29286	-1.4463	
766	0.2935	-1.4449	
767	0.29382	-1.4436	
768	0.29418	-1.4419	
769	0.29456	-1.4397	
770	0.29496	-1.4371	
771	0.29536	-1.4342	
772	0.29576	-1.4312	
773	0.29596	-1.4297	
774	0.2962	-1.4278	
775	0.29647	-1.4257	
776	0.29677	-1.4235	
777	0.29708	-1.4213	
778	0.2974	-1.419	
779	0.29773	-1.4169	
780	0.29807	-1.4149	
781	0.29842	-1.4131	
782	0.29877	-1.4117	
783	0.29912	-1.4105	
784	0.29947	-1.4096	
785	0.29982	-1.4091	
786	0.30017	-1.409	
787	0.30053	-1.4092	
788	0.30088	-1.4099	
789	0.30124	-1.4108	
790	0.3016	-1.4121	
791	0.30196	-1.4138	
792	0.30233	-1.4157	
793	0.30269	-1.4179	
794	0.30307	-1.4204	
795	0.30344	-1.423	
796	0.30382	-1.4257	
797	0.30421	-1.4285	
798	0.3046	-1.4312	
799	0.305	-1.4339	
800	0.30541	-1.4363	
801	0.30583	-1.4384	
802	0.30627	-1.4401	
803	0.30672	-1.4412	
804	0.30719	-1.4415	
805	0.30769	-1.441	
806	0.30822	-1.4394	
807	0.3088	-1.4364	
808	0.30946	-1.4317	
809	0.31024	-1.4247	
810	0.31105	-1.4166	
811	0.31145	-1.4126	
812	0.31188	-1.4085	
813	0.31232	-1.4046	
814	0.31277	-1.4011	
815	0.31299	-1.3996	
816	0.31326	-1.3981	
817	0.31356	-1.3966	
818	0.31388	-1.3955	
819	0.31423	-1.3947	
820	0.31458	-1.3944	
821	0.31495	-1.3946	
822	0.31531	-1.3953	
823	0.31568	-1.3965	
824	0.31606	-1.3981	
825	0.31643	-1.4	
826	0.31661	-1.401	
827	0.31684	-1.4023	
828	0.3171	-1.4039	
829	0.31738	-1.4057	
830	0.31769	-1.4076	
831	0.31802	-1.4095	
832	0.31836	-1.4113	
833	0.31872	-1.413	
834	0.31909	-1.4145	
835	0.31947	-1.4155	
836	0.31987	-1.4161	
837	0.3203	-1.4161	
838	0.32076	-1.4153	
839	0.32127	-1.4135	
840	0.32194	-1.4097	
841	0.32228	-1.4073	
842	0.32265	-1.4042	
843	0.32305	-1.4006	
844	0.32346	-1.3967	
845	0.32387	-1.3925	
846	0.32408	-1.3903	
847	0.32432	-1.3878	
848	0.3246	-1.3849	
849	0.3249	-1.3818	
850	0.32521	-1.3786	
851	0.32554	-1.3754	
852	0.32588	-1.3723	
853	0.32623	-1.3694	
854	0.32658	-1.3667	
855	0.32693	-1.3643	
856	0.32728	-1.3624	
857	0.32764	-1.3608	
858	0.32799	-1.3596	
859	0.32834	-1.3588	
860	0.3287	-1.3586	
861	0.32905	-1.3587	
862	0.32941	-1.3593	
863	0.32977	-1.3604	
864	0.33013	-1.3619	
865	0.33049	-1.3638	
866	0.33085	-1.3661	
867	0.33122	-1.3688	
868	0.33159	-1.3718	
869	0.33197	-1.375	
870	0.33235	-1.3785	
871	0.33273	-1.3821	
872	0.33312	-1.3858	
873	0.33352	-1.3895	
874	0.33393	-1.3931	
875	0.33435	-1.3965	
876	0.33479	-1.3995	
877	0.33524	-1.4021	
878	0.33571	-1.4041	
879	0.3362	-1.4053	
880	0.33673	-1.4055	
881	0.3373	-1.4046	
882	0.33794	-1.4021	
883	0.33872	-1.3976	
884	0.33953	-1.3916	
885	0.33994	-1.3884	
886	0.34037	-1.3851	
887	0.34082	-1.3819	
888	0.34127	-1.379	
889	0.34149	-1.3777	
890	0.34176	-1.3763	
891	0.34206	-1.375	
892	0.34239	-1.374	
893	0.34273	-1.3732	
894	0.34309	-1.3728	
895	0.34345	-1.3728	
896	0.34382	-1.3732	
897	0.3442	-1.374	
898	0.34457	-1.3751	
899	0.34475	-1.3757	
900	0.34498	-1.3765	
901	0.34524	-1.3775	
902	0.34552	-1.3787	
903	0.34583	-1.38	
904	0.34615	-1.3812	
905	0.34649	-1.3824	
906	0.34684	-1.3835	
907	0.3472	-1.3843	
908	0.34757	-1.3847	
909	0.34796	-1.3847	
910	0.34836	-1.3842	
911	0.34878	-1.3829	
912	0.34924	-1.3809	
913	0.34974	-1.3777	
914	0.35037	-1.3725	
915	0.35102	-1.3659	
